Site_ID,Sample_ID,Data_Source,Latitude_Degrees,Longitude_Degrees,Ocean_Name,Reef_ID,Realm_Name,Ecoregion_Name,Country_Name,State_Island_Province_Name,City_Town_Name,Site_Name,Distance_to_Shore,Exposure,Turbidity,Cyclone_Frequency,Date_Day,Date_Month,Date_Year,Depth_m,Substrate_Name,Percent_Cover,Bleaching_Level,Percent_Bleaching,ClimSST,Temperature_Kelvin,Temperature_Mean,Temperature_Minimum,Temperature_Maximum,Temperature_Kelvin_Standard_Deviation,Windspeed,SSTA,SSTA_Standard_Deviation,SSTA_Mean,SSTA_Minimum,SSTA_Maximum,SSTA_Frequency,SSTA_Frequency_Standard_Deviation,SSTA_FrequencyMax,SSTA_FrequencyMean,SSTA_DHW,SSTA_DHW_Standard_Deviation,SSTA_DHWMax,SSTA_DHWMean,TSA,TSA_Standard_Deviation,TSA_Minimum,TSA_Maximum,TSA_Mean,TSA_Frequency,TSA_Frequency_Standard_Deviation,TSA_FrequencyMax,TSA_FrequencyMean,TSA_DHW,TSA_DHW_Standard_Deviation,TSA_DHWMax,TSA_DHWMean,Date,Site_Comments,Sample_Comments,Bleaching_Comments
1116,10313775,Reef_Check,-16.4375,145.9922,Pacific,145.59.53E.16.26.25S,Central Indo-Pacific,Central and northern Great Barrier Reef,Australia,Queensland,Norman Reef,nd,47718.11,Sheltered,0.0622,60.01,3,3,2010,5,Nutrient Indicator Algae,0,Population,22.5,300.4,303.66,299.63,294.73,305.7,1.97,5,1.95,0.85,0,-3.64,4.17,14,6.11,32,5,5.04,3.17,20.23,1.97,1.51,1.97,-7.41,3.54,-2.51,3,1.46,6,1,3.64,1.25,7.36,0.46,03-03-2010,nd,nd,nd
262,10314875,Reef_Check,-25.2631,152.9381,Pacific,152.93811E.25.26305S2,Temperate Australasia,Moreton Bay eastern Australia,Australia,Queensland,Sunshine Coast,nd,1273.11,Sheltered,0.1664,48.9,18,6,2017,4,Hard Coral,42.5,Population,22.75,291.89,293.16,296.47,289.17,303.48,3.16,6,0.33,0.9,0,-2.82,3.19,13,4.81,21,6,1.61,3.82,24.49,2.46,-7.15,3.16,-11.13,3.16,-3.83,0,2.06,8,1,0,1.72,12.15,0.6,18-06-2017,nd,nd,nd
262,10314875,Reef_Check,-25.2631,152.9381,Pacific,152.93811E.25.26305S2,Temperate Australasia,Moreton Bay eastern Australia,Australia,Queensland,Sunshine Coast,nd,1273.11,Sheltered,0.1664,48.9,18,6,2017,4,Nutrient Indicator Algae,0,Population,22.75,291.89,293.16,296.47,289.17,303.48,3.16,6,0.33,0.9,0,-2.82,3.19,13,4.81,21,6,1.61,3.82,24.49,2.46,-7.15,3.16,-11.13,3.16,-3.83,0,2.06,8,1,0,1.72,12.15,0.6,18-06-2017,nd,nd,nd
61,10313956,Reef_Check,-19.1542,146.8658,Pacific,146.50E.19.09S,Central Indo-Pacific,Central and northern Great Barrier Reef,Australia,Queensland,Magnetic Island,nd,326.99,Sheltered,0.1942,43.39,6,7,2009,3,Hard Coral,13.12,Population,23,295.18,296.25,299.07,292.2,305.77,2.88,4,1.17,0.98,0,-3.33,3.34,9,5.32,29,7,3.42,3.32,19.92,2.78,-6.24,2.88,-10.28,3.27,-3.41,5,1.46,6,1,0,1.49,10.49,0.62,06-07-2009,nd,nd,nd
61,10313956,Reef_Check,-19.1542,146.8658,Pacific,146.50E.19.09S,Central Indo-Pacific,Central and northern Great Barrier Reef,Australia,Queensland,Magnetic Island,nd,326.99,Sheltered,0.1942,43.39,6,7,2009,3,Nutrient Indicator Algae,28.12,Population,23,295.18,296.25,299.07,292.2,305.77,2.88,4,1.17,0.98,0,-3.33,3.34,9,5.32,29,7,3.42,3.32,19.92,2.78,-6.24,2.88,-10.28,3.27,-3.41,5,1.46,6,1,0,1.49,10.49,0.62,06-07-2009,nd,nd,nd
260,10314872,Reef_Check,-25.2822,152.9253,Pacific,152.92532E.25.28226S,Temperate Australasia,Moreton Bay eastern Australia,Australia,Queensland,Sunshine Coast,nd,1881.76,Sheltered,0.1664,48.9,18,6,2017,3,Hard Coral,18.12,Population,23.75,291.89,293.16,296.47,289.17,303.48,3.16,6,0.33,0.9,0,-2.82,3.19,13,4.81,21,6,1.61,3.82,24.49,2.46,-7.15,3.16,-11.13,3.16,-3.83,0,2.06,8,1,0,1.72,12.15,0.6,18-06-2017,nd,nd,nd
260,10314872,Reef_Check,-25.2822,152.9253,Pacific,152.92532E.25.28226S,Temperate Australasia,Moreton Bay eastern Australia,Australia,Queensland,Sunshine Coast,nd,1881.76,Sheltered,0.1664,48.9,18,6,2017,3,Nutrient Indicator Algae,0,Population,23.75,291.89,293.16,296.47,289.17,303.48,3.16,6,0.33,0.9,0,-2.82,3.19,13,4.81,21,6,1.61,3.82,24.49,2.46,-7.15,3.16,-11.13,3.16,-3.83,0,2.06,8,1,0,1.72,12.15,0.6,18-06-2017,nd,nd,nd
61,10313953,Reef_Check,-19.1542,146.8658,Pacific,146.50E.19.09S,Central Indo-Pacific,Central and northern Great Barrier Reef,Australia,Queensland,Magnetic Island,nd,326.99,Sheltered,0.1942,43.39,26,7,2015,4,Hard Coral,23.12,Population,24.25,296.53,295.99,299.07,292.2,305.77,2.87,5,1.11,0.96,0,-3.33,3.34,14,5.36,29,7,4.02,3.26,19.93,2.71,-6.5,2.87,-10.28,3.27,-3.4,2,1.48,7,1,0,1.45,10.49,0.59,26-07-2015,nd,nd,nd
61,10313953,Reef_Check,-19.1542,146.8658,Pacific,146.50E.19.09S,Central Indo-Pacific,Central and northern Great Barrier Reef,Australia,Queensland,Magnetic Island,nd,326.99,Sheltered,0.1942,43.39,26,7,2015,4,Nutrient Indicator Algae,16.88,Population,24.25,296.53,295.99,299.07,292.2,305.77,2.87,5,1.11,0.96,0,-3.33,3.34,14,5.36,29,7,4.02,3.26,19.93,2.71,-6.5,2.87,-10.28,3.27,-3.4,2,1.48,7,1,0,1.45,10.49,0.59,26-07-2015,nd,nd,nd
37,10314152,Reef_Check,-20.7377,149.4649,Pacific,149.464958E.20.737692S,Central Indo-Pacific,Southern Great Barrier Reef,Australia,Queensland,Wigton Island,nd,211.24,Sheltered,0.0617,39.06,27,3,2016,5,Hard Coral,38.12,Population,25,298.21,301.56,298.37,292.01,304.04,2.52,5,1.07,0.81,0,-2.8,3.44,8,5.27,25,5,3.65,2.89,18.05,1.86,0.17,2.52,-9.38,2.64,-3.01,2,1.31,5,1,2.36,0.97,6.86,0.36,27-03-2016,nd,nd,nd
